Pokemon,Move1,Move2,Move3,Move4,Move5,Move6,Move7,Move8,Move9,Move10,Move11,Move12,Move13,Move14,Move15,Move16,Move17,Move18,Move19,Move20,Move21,Move22,Move23,Move24,Move25,Move26,Move27,Move28,Move29,Move30,Move31,Move32,Move33,Move34,Move35,Move36,Move37,Move38,Move39,Move40,Move41,Move42,Move43,Move44,Move45,Move46,Move47,Move48,Move49,Move50,Move51,Move52,Move53,Move54,Move55,Move56,Move57,Move58,Move59,Move60,Move61,Move62,Move63,Move64,Move65,Move66,Move67,Move68,Move69,Move70,Move71,Move72,Move73,Move74,Move75,Move76,Move77,Move78,Move79,Move80,Move81,Move82,Move83,Move84,Move85,Move86,Move87,Move88,Move89,Move90,Move91,Move92,Move93,Move94,Move95,Move96,Move97,Move98,Move99,Move100,Move101,Move102,Move103,Move104,Move105,Move106,Move107,Move108,Move109,Move110,Move111,Move112,Move113,Move114,Move115,Move116,Move117,Move118,Move119,Move120,Move121,Move122,Move123,Move124,Move125,Move126,Move127,Move128,Move129,Move130,Move131,Move132,Move133,Move134,Move135,Move136,Move137,Move138,Move139,Move140,Move141,Move142,Move143,Move144,Move145,Move146,Move147,Move148,Move149,Move150,Move151,Move152,Move153,Move154,Move155,Move156,Move157,Move158,Move159,Move160,Move161,Move162,Move163,Move164,Move165,Move166,Move167,Move168,Move169,Move170,Move171,Move172,Move173,Move174,Move175,Move176,Move177,Move178,Move179,Move180,Move181,Move182,Move183,Move184,Move185,Move186,Move187,Move188,Move189,Move190,Move191,Move192,Move193,Move194,Move195,Move196,Move197,Move198,Move199,Move200,Move201,Move202,Move203,Move204,Move205,Move206,Move207,Move208,Move209,Move210,Move211,Move212,Move213,Move214,Move215,Move216,Move217,Move218,Move219,Move220,Move221,Move222,Move223,Move224,Move225,Move226,Move227,Move228,Move229,Move230,Move231,Move232,Move233,Move234,Move235,Move236,Move237,Move238,Move239,Move240,Move241,Move242,Move243,Move244,Move245,Move246,Move247,Move248,Move249,Move250,Move251,Move252,Move253,Move254,Move255,Move256,Move257,Move258
Pawniard,Thief,Torment,Facade,Payback,Mean Look,Psycho Cut,Dark Pulse,Low Kick,Endure,Scratch,Substitute,Screech,Rain Dance,Stealth Rock,Guillotine,Iron Defense,Poison Jab,Quick Guard,Snore,Laser Focus,Air Slash,Spite,Lash Out,Fling,Rock Tomb,Iron Head,Night Slash,Aerial Ace,Shadow Claw,Foul Play,Retaliate,Flash Cannon,Thunder Wave,Sucker Punch,Revenge,Swords Dance,Stone Edge,Dig,Rest,Low Sweep,X-Scissor,Leer,Slash,Metal Sound,Fury Cutter,Take Down,Snarl,Metal Claw,Sleep Talk,Brick Break,Protect,Beat Up,Round,Assurance,Taunt,Tera Blast,Scary Face,Sandstorm,False Swipe,Attract,Headbutt,Steel Beam,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bisharp,Thief,Torment,Facade,Focus Blast,Throat Chop,Hyper Beam,Mean Look,Giga Impact,Payback,Psycho Cut,Dark Pulse,Low Kick,Endure,Scratch,Substitute,Screech,Rain Dance,Stealth Rock,Guillotine,Iron Defense,Poison Jab,Quick Guard,Snore,Laser Focus,Air Slash,Reversal,Spite,Lash Out,Fling,Rock Tomb,Iron Head,Night Slash,Aerial Ace,Shadow Claw,Foul Play,Retaliate,Flash Cannon,Thunder Wave,Sucker Punch,Revenge,Swords Dance,Stone Edge,Dig,Rest,Low Sweep,X-Scissor,Leer,Slash,Metal Sound,Metal Burst,Fury Cutter,Take Down,Snarl,Metal Claw,Sleep Talk,Brick Break,Protect,Beat Up,Round,Assurance,Taunt,Tera Blast,Scary Face,Sandstorm,False Swipe,Attract,Headbutt,Steel Beam,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouffalant,Close Combat,Hidden Power,Facade,Throat Chop,Swagger,Payback,Giga Impact,Substitute,Endure,High Horsepower,Amnesia,Work Up,Rain Dance,Uproar,Return,Poison Jab,Snore,Focus Energy,Rage,Thrash,Confide,Reversal,Rock Slide,Mud Shot,Body Slam,Lash Out,Fury Attack,Earthquake,Horn Attack,Double Team,Rock Tomb,Strength,Iron Head,Pursuit,Aerial Ace,Wild Charge,Surf,Frustration,Secret Power,Retaliate,Stomping Tantrum,Rock Smash,Revenge,Megahorn,Swords Dance,Sunny Day,Stone Edge,Rest,Superpower,Skull Bash,Outrage,Rock Climb,Belch,Leer,Toxic,Mud-Slap,Smart Strike,Head Charge,Sleep Talk,Cut,Cotton Guard,Stomp,Protect,Round,Assurance,Taunt,Scary Face,Bulldoze,Attract,Headbutt,Tackle,Endeavor,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufflet,Close Combat,Facade,U-turn,Hone Claws,Whirlwind,Acrobatics,Quick Attack,Endure,Substitute,Rain Dance,Twister,Wing Attack,Peck,Fly,Ominous Wind,Crush Claw,Thrash,Air Slash,Agility,Body Slam,Rock Slide,Helping Hand,Air Cutter,Roost,Rock Tomb,Aerial Ace,Shadow Claw,Hurricane,Feather Dance,Tailwind,Heat Wave,Double-Edge,Rock Smash,Sunny Day,Rest,Leer,Take Down,Slash,Sleep Talk,Bulk Up,Swift,Protect,Tera Blast,Dual Wingbeat,Scary Face,Brave Bird,Defog,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braviary,Sky Attack,Close Combat,Facade,U-turn,Hone Claws,Giga Impact,Hyper Beam,Whirlwind,Acrobatics,Dazzling Gleam,Psychic,Endure,Substitute,Calm Mind,Psychic Terrain,Quick Attack,Rain Dance,Hyper Voice,Twister,Wing Attack,Peck,Fly,Mystical Fire,Expanding Force,Ominous Wind,Power Shift,Crush Claw,Thrash,Air Slash,Agility,Body Slam,Rock Slide,Helping Hand,Reversal,Night Shade,Air Cutter,Psych Up,Psychic Noise,Roost,Rock Tomb,Aerial Ace,Iron Head,Shadow Claw,Future Sight,Hurricane,Feather Dance,Esper Wing,Tailwind,Heat Wave,Double-Edge,Psyshock,Rock Smash,Shadow Ball,Icy Wind,Sunny Day,Rest,Superpower,Leer,Slash,Take Down,Confuse Ray,Sleep Talk,Metal Claw,Bulk Up,Swift,Snarl,Protect,Stored Power,Tera Blast,Dual Wingbeat,Scary Face,Brave Bird,Defog,Vacuum Wave,Psybeam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vullaby,Thief,Facade,Throat Chop,U-turn,Mean Look,Payback,Whirlwind,Dark Pulse,Endure,Substitute,Flatter,Rain Dance,Uproar,Fly,Iron Defense,Snore,Air Slash,Spite,Fake Tears,Air Cutter,Lash Out,Psych Up,Roost,Rock Tomb,Nasty Plot,Knock Off,Foul Play,Feather Dance,Retaliate,Gust,Tailwind,Shadow Ball,Heat Wave,Double-Edge,Sunny Day,Rest,Leer,Take Down,Toxic,Snarl,Sleep Talk,Swift,Round,Protect,Taunt,Pluck,Tera Blast,Dual Wingbeat,Scary Face,Assurance,Brave Bird,Defog,Steel Wing,Attract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandibuzz,Sky Attack,Thief,Facade,Throat Chop,U-turn,Giga Impact,Hyper Beam,Mean Look,Whirlwind,Acrobatics,Payback,Dark Pulse,Endure,Substitute,Flatter,Rain Dance,Uproar,Fly,Iron Defense,Snore,Air Slash,Spite,Fake Tears,Air Cutter,Lash Out,Psych Up,Roost,Rock Tomb,Nasty Plot,Aerial Ace,Knock Off,Hurricane,Foul Play,Feather Dance,Bone Rush,Gust,Tailwind,Shadow Ball,Heat Wave,Double-Edge,Retaliate,Sunny Day,Rest,Leer,Take Down,Toxic,Snarl,Sleep Talk,Swift,Round,Protect,Taunt,Pluck,Tera Blast,Dual Wingbeat,Scary Face,Assurance,Sandstorm,Brave Bird,Defog,Steel Wing,Attract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heatmor,Hidden Power,Facade,Swagger,Substitute,Rain Dance,Snore,Curse,Pursuit,Focus Punch,Knock Off,Will-O-Wisp,Rest,Slash,Sleep Talk,Round,Drain Punch,Fury Swipes,Thief,Focus Blast,Recycle,Spit Up,Tickle,Night Slash,Power-Up Punch,Frustration,Heat Wave,Sucker Punch,Burning Jealousy,Rock Smash,Flare Blitz,Stockpile,Dig,Swallow,Belch,Incinerate,Cut,Odor Sleuth,Hone Claws,Giga Drain,Overheat,Fire Blast,Return,Feint Attack,Rock Tomb,Solar Beam,Aerial Ace,Secret Power,Bug Bite,Fire Spin,Lick,Flamethrower,Superpower,Taunt,Gastro Acid,Attract,Tackle,Amnesia,Throat Chop,Snatch,Giga Impact,Flame Burst,Low Kick,Endure,Confide,Bind,Body Slam,Inferno,Fling,Double Team,Wrap,Shadow Claw,Stomping Tantrum,Sunny Day,Scorching Sands,Toxic,Brutal Swing,Protect,Thunder Punch,Fire Punch,Fire Lash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durant,Hidden Power,Facade,Swagger,Giga Impact,Energy Ball,Hone Claws,Infestation,Substitute,Endure,Screech,Guillotine,Return,Iron Defense,Skitter Smack,Snore,Vise Grip,Agility,Confide,Rock Slide,Helping Hand,Feint Attack,Double Team,Sand Attack,Crunch,Rock Tomb,Strength,Iron Head,Aerial Ace,Shadow Claw,Frustration,Secret Power,Retaliate,Stomping Tantrum,Thunder Wave,Flash Cannon,Entrainment,Bug Bite,Rock Smash,Flail,Rock Polish,Stone Edge,Dig,Rest,Superpower,X-Scissor,Rock Climb,Metal Sound,Thunder Fang,Fury Cutter,Metal Burst,Toxic,Sleep Talk,Metal Claw,Cut,Round,Protect,Beat Up,Baton Pass,Struggle Bug,First Impression,Sandstorm,Attract,Endeavor,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deino,Dragon Breath,Roar,Thief,Facade,Double Hit,Dragon Tail,Dark Pulse,Endure,Substitute,Work Up,Screech,Rain Dance,Hyper Voice,Uproar,Snore,Focus Energy,Zen Headbutt,Body Slam,Spite,Slam,Earth Power,Psych Up,Crunch,Nasty Plot,Dragon Pulse,Thunder Wave,Astonish,Dragon Cheer,Sunny Day,Rest,Superpower,Outrage,Draco Meteor,Belch,Dragon Rush,Take Down,Thunder Fang,Snarl,Sleep Talk,Round,Head Smash,Protect,Assurance,Taunt,Tera Blast,Scary Face,Ice Fang,Fire Fang,Attract,Headbutt,Tackle,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweilous,Dragon Breath,Roar,Thief,Facade,Double Hit,Dragon Tail,Dark Pulse,Endure,Substitute,Work Up,Screech,Rain Dance,Hyper Voice,Uproar,Snore,Focus Energy,Zen Headbutt,Body Slam,Helping Hand,Spite,Lash Out,Slam,Earth Power,Psych Up,Crunch,Nasty Plot,Dragon Pulse,Stomping Tantrum,Thunder Wave,Astonish,Dragon Cheer,Sunny Day,Rest,Superpower,Outrage,Draco Meteor,Belch,Dragon Rush,Take Down,Thunder Fang,Snarl,Sleep Talk,Round,Head Smash,Protect,Beat Up,Assurance,Taunt,Tera Blast,Scary Face,Ice Fang,Fire Fang,Attract,Headbutt,Tackle,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydreigon,Dragon Breath,Facade,U-turn,Dark Pulse,Substitute,Rain Dance,Hyper Voice,Uproar,Snore,Spite,Rock Slide,Psych Up,Tri Attack,Nasty Plot,Surf,Rest,Outrage,Draco Meteor,Snarl,Sleep Talk,Round,Head Smash,Assurance,Tera Blast,Dual Wingbeat,Fire Fang,Steel Wing,Roar,Thief,Focus Blast,Double Hit,Dragon Tail,Iron Tail,Stealth Rock,Fly,Focus Energy,Dragon Dance,Earth Power,Crunch,Reflect,Thunder Wave,Astonish,Heat Wave,Dragon Cheer,Stone Edge,Belch,Thunder Fang,Hydro Pump,Zen Headbutt,Hyper Beam,Payback,Acrobatics,Fire Blast,Screech,Rock Tomb,Fire Spin,Flamethrower,Scale Shot,Superpower,Take Down,Beat Up,Taunt,Scary Face,Ice Fang,Bulldoze,Attract,Tackle,Bite,Throat Chop,Giga Impact,Endure,Work Up,Body Slam,Helping Hand,Lash Out,Slam,Earthquake,Dragon Pulse,Breaking Swipe,Stomping Tantrum,Flash Cannon,Tailwind,Sunny Day,Dragon Rush,Brutal Swing,Protect,Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larvesta,Flame Charge,Facade,U-turn,Giga Drain,Psychic,Overheat,Acrobatics,Calm Mind,Lunge,Endure,Substitute,Fire Blast,Screech,Safeguard,Skitter Smack,Snore,Ember,Thrash,Flame Wheel,Body Slam,Absorb,Morning Sun,Bug Buzz,Solar Beam,Wild Charge,String Shot,Will-O-Wisp,Double-Edge,Heat Wave,Bug Bite,Fire Spin,Sunny Day,Light Screen,Flare Blitz,Flamethrower,Rest,Pounce,Trailblaze,Take Down,Sleep Talk,Harden,Round,Protect,Tera Blast,Struggle Bug,Leech Life,Attract,Amnesia,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcarona,Flame Charge,Facade,U-turn,Giga Impact,Giga Drain,Psychic,Whirlwind,Acrobatics,Calm Mind,Overheat,Endure,Substitute,Fire Blast,Screech,Lunge,Rain Dance,Mystical Fire,Fly,Poison Jab,Skitter Smack,Snore,Ember,Thrash,Flame Wheel,Air Slash,Body Slam,Safeguard,Air Cutter,Absorb,Morning Sun,Bug Buzz,Solar Beam,Quiver Dance,Hurricane,Wild Charge,String Shot,Hyper Beam,Gust,Will-O-Wisp,Double-Edge,Heat Wave,Tailwind,Bug Bite,Fire Spin,Sunny Day,Light Screen,Flare Blitz,Flamethrower,Fiery Dance,Rest,Pounce,Trailblaze,Take Down,Sleep Talk,Harden,Round,Protect,Rage Powder,Tera Blast,Struggle Bug,Dual Wingbeat,Leech Life,Attract,Amnesia,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobalion,Close Combat,Roar,Facade,Focus Blast,Hyper Beam,Giga Impact,Safeguard,Quick Attack,Calm Mind,Endure,Substitute,Work Up,Heavy Slam,Rain Dance,Stealth Rock,Iron Defense,Poison Jab,Quick Guard,Aura Sphere,Snore,Air Slash,Body Slam,Helping Hand,Reversal,Vacuum Wave,Body Press,Psych Up,Iron Head,Aerial Ace,Double Kick,Reflect,Upper Hand,Retaliate,Flash Cannon,Thunder Wave,Double-Edge,Revenge,Sunny Day,Swords Dance,Megahorn,Stone Edge,Rest,Superpower,X-Scissor,Leer,Take Down,Coaching,Metal Burst,Metal Sound,Bounce,Smart Strike,Sleep Talk,Metal Claw,Swift,Brick Break,Protect,Round,Taunt,Tera Blast,Scary Face,Sacred Sword,Volt Switch,Sandstorm,False Swipe,Steel Beam,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrakion,Close Combat,Roar,Facade,Focus Blast,Hyper Beam,Giga Impact,Safeguard,Quick Attack,Calm Mind,Endure,Substitute,High Horsepower,Work Up,Stealth Rock,Smack Down,Aura Sphere,Poison Jab,Quick Guard,Snore,Air Slash,Body Slam,Helping Hand,Rock Slide,Reversal,Earth Power,Earthquake,Psych Up,Rock Tomb,Aerial Ace,Iron Head,Double Kick,Reflect,Upper Hand,Retaliate,Stomping Tantrum,Double-Edge,Revenge,Megahorn,Swords Dance,Stone Edge,Rest,Superpower,X-Scissor,Leer,Take Down,Coaching,Smart Strike,Sleep Talk,Swift,Brick Break,Protect,Round,Taunt,Tera Blast,Scary Face,Sacred Sword,Rock Blast,Bulldoze,Sandstorm,False Swipe,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virizion,Close Combat,Roar,Facade,Focus Blast,Hyper Beam,Energy Ball,Giga Drain,Giga Impact,Safeguard,Quick Attack,Calm Mind,Endure,Substitute,Work Up,Solar Blade,Aura Sphere,Quick Guard,Snore,Magical Leaf,Air Slash,Body Slam,Helping Hand,Reversal,Psych Up,Aerial Ace,Solar Beam,Double Kick,Bullet Seed,Leaf Storm,Reflect,Upper Hand,Retaliate,Double-Edge,Light Screen,Sunny Day,Swords Dance,Revenge,Megahorn,Stone Edge,Seed Bomb,Rest,Superpower,X-Scissor,Trailblaze,Leer,Take Down,Coaching,Bounce,Smart Strike,Synthesis,Sleep Talk,Leaf Blade,Grassy Glide,Swift,Brick Break,Protect,Round,Taunt,Tera Blast,Scary Face,Sacred Sword,False Swipe,Vacuum Wave,Grass Knot,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornadus,Swagger,Thief,Facade,Focus Blast,Bite,Chilling Water,U-turn,Psychic,Giga Impact,Acrobatics,Hyper Beam,Dark Pulse,Endure,Substitute,Iron Tail,Uproar,Rain Dance,Twister,Fly,Smack Down,Sludge Bomb,Agility,Air Slash,Thrash,Body Slam,Reversal,Air Cutter,Lash Out,Fling,Metronome,Crunch,Nasty Plot,Bleakwind Storm,Aerial Ace,Knock Off,Hurricane,Foul Play,Gust,Tailwind,Astonish,Snowscape,Heat Wave,Rock Smash,Icy Wind,Sunny Day,Rest,Sludge Wave,Leer,Take Down,Sleep Talk,Bulk Up,Brick Break,Protect,Extrasensory,Taunt,Tera Blast,Scary Face,Sandstorm,Weather Ball,Tackle,Grass Knot,Hammer Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,Swagger,Thief,Facade,Focus Blast,Bite,U-turn,Psychic,Giga Impact,Hyper Beam,Acrobatics,Dark Pulse,Endure,Substitute,Thunder,Iron Tail,Uproar,Rain Dance,Twister,Power Shift,Fly,Smack Down,Sludge Bomb,Charge,Agility,Thrash,Zen Headbutt,Body Slam,Electro Ball,Lash Out,Thunder Shock,Fling,Crunch,Electric Terrain,Spark,Nasty Plot,Supercell Slam,Knock Off,Wild Charge,Foul Play,Flash Cannon,Thunder Wave,Astonish,Shock Wave,Rock Smash,Sunny Day,Rest,Thunderbolt,Eerie Impulse,Sludge Wave,Tackle,Leer,Take Down,Electroweb,Smart Strike,Snarl,Bulk Up,Sleep Talk,Brick Break,Protect,Extrasensory,Taunt,Tera Blast,Charge Beam,Scary Face,Volt Switch,Wildbolt Storm,Thunder Punch,Weather Ball,Discharge,Grass Knot,Hammer Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reshiram,Dragon Breath,Flame Charge,Facade,Focus Blast,Roar,Dragon Tail,Giga Impact,Psychic,Hyper Beam,Overheat,Safeguard,Payback,Endure,Substitute,Fire Blast,Imprison,Ancient Power,Hyper Voice,Rain Dance,Mystical Fire,Fly,Snore,Body Slam,Rock Slide,Dragon Dance,Helping Hand,Earth Power,Fling,Blue Flare,Body Press,Crunch,Rock Tomb,Solar Beam,Dragon Pulse,Shadow Claw,Breaking Swipe,Reflect,Will-O-Wisp,Tailwind,Shadow Ball,Heat Wave,Double-Edge,Fire Spin,Sunny Day,Light Screen,Dragon Cheer,Flamethrower,Stone Edge,Rest,Flare Blitz,Outrage,Heat Crash,Fusion Flare,Scale Shot,Draco Meteor,Take Down,Slash,Scorching Sands,Noble Roar,Brutal Swing,Sleep Talk,Swift,Dragon Claw,Protect,Round,Extrasensory,Tera Blast,Dual Wingbeat,Scary Face,Fire Fang,Steel Wing,Weather Ball,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zekrom,Dragon Breath,Facade,Safeguard,Substitute,Imprison,Rain Dance,Hyper Voice,Rising Voltage,Snore,Charge,Rock Slide,Electro Ball,Focus Punch,Rest,Outrage,Draco Meteor,Slash,Sleep Talk,Round,Tera Blast,Charge Beam,Haze,Dual Wingbeat,Volt Switch,Steel Wing,Weather Ball,Fusion Bolt,Roar,Focus Blast,Dragon Tail,Ancient Power,Stealth Rock,Fly,Dragon Dance,Earth Power,Crunch,Wild Charge,Reflect,Bolt Strike,Thunder Wave,Shadow Ball,Dragon Cheer,Stone Edge,Thunder Fang,Noble Roar,Swift,Zen Headbutt,Hyper Beam,Payback,Psychic,Thunder,Body Press,Rock Tomb,Light Screen,Scale Shot,Thunderbolt,Take Down,Scary Face,Supercell Slam,Giga Impact,Endure,Body Slam,Helping Hand,Fling,Electric Terrain,Dragon Pulse,Shadow Claw,Breaking Swipe,Flash Cannon,Tailwind,Double-Edge,Sunny Day,Brutal Swing,Dragon Claw,Brick Break,Protect,Thunder Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
